"","Education","lng","lat"
"271","High School Diploma or GED",-118.256602,33.850595
"272","High School Diploma or GED",-118.2969692,33.7176662
"273","High School Diploma or GED",-118.24039,33.891015
"274","High School Diploma or GED",-118.354679,33.969927
"275","High School Diploma or GED",-117.198035,33.835863
"276","High School Diploma or GED",-118.3043742,33.7542263
"277","High School Diploma or GED",-117.593899,33.400841
"278","High School Diploma or GED",-118.273943,33.796259
"279","High School Diploma or GED",-118.0198442,33.8202487
"280","High School Diploma or GED",-118.263294,33.803288
"281","High School Diploma or GED",-118.000742,33.849474
"282","High School Diploma or GED",-118.2884588,33.7351332
"283","High School Diploma or GED",-118.2198,33.827845
"284","High School Diploma or GED",-118.315977,33.8052759
"285","High School Diploma or GED",-117.4168565,34.4203055
"286","High School Diploma or GED",-118.3834164,33.8578802
"287","High School Diploma or GED",-117.678442,33.949883
"288","High School Diploma or GED",-118.3663352,33.9592039
"289","High School Diploma or GED",-118.1868016,33.8367856
"290","High School Diploma or GED",-118.1391296,33.761539
"291","High School Diploma or GED",-117.6155637,33.6141842
"292","High School Diploma or GED",-118.3004186,33.7924742
"293","High School Diploma or GED",-118.1208831,33.767285
"294","High School Diploma or GED",-118.301157,33.895076
"295","High School Diploma or GED",-118.279363,33.7866813
"296","High School Diploma or GED",-117.590458,33.847486
"297","High School Diploma or GED",-118.260131,33.8517269
"298","High School Diploma or GED",-118.3829542,33.9635152
"299","High School Diploma or GED",-118.1386833,33.8021201
"300","High School Diploma or GED",-118.160277,33.767791
"301","High School Diploma or GED",-118.243936,33.85521
"302","High School Diploma or GED",-118.267109,33.913951
"303","High School Diploma or GED",-117.2021778,33.9226229
"304","High School Diploma or GED",-118.017563,33.944564
"305","High School Diploma or GED",-118.210278,33.881441
"306","High School Diploma or GED",-118.284138,33.7413636
"307","High School Diploma or GED",-118.300398,33.796021
"308","High School Diploma or GED",-118.009666,34.073218
"309","High School Diploma or GED",-118.123173,33.924816
"310","High School Diploma or GED",-117.166437,33.547374
"311","High School Diploma or GED",-117.204375,33.925649
"312","High School Diploma or GED",-118.2140427,33.8240458
"313","High School Diploma or GED",-117.805763,34.058202
"314","High School Diploma or GED",-118.1918782,33.8596723
"315","High School Diploma or GED",-117.9911563,33.6831886
"316","High School Diploma or GED",-117.8857184,33.8692337
"317","High School Diploma or GED",-118.2592692,33.7840209
"318","High School Diploma or GED",-118.2735697,33.7753888
"319","High School Diploma or GED",-117.9146,33.64758
"320","High School Diploma or GED",-118.1590498,33.7815418
"321","High School Diploma or GED",-118.1819491,33.8761318
"322","High School Diploma or GED",-118.160707,33.916718
"323","High School Diploma or GED",-118.227447,33.970818
"324","High School Diploma or GED",-118.3630023,33.842309
"325","High School Diploma or GED",-118.3088004,33.7946858
"326","High School Diploma or GED",-118.113896,33.8758989
"327","High School Diploma or GED",-117.8150505,33.7528274
"328","High School Diploma or GED",-118.3107605,33.9160962
"329","High School Diploma or GED",-118.182667,33.78514
"330","High School Diploma or GED",-118.3654295,33.9516774
"331","High School Diploma or GED",-118.1261923,33.8991581
"332","High School Diploma or GED",-118.285986,33.733823
"333","High School Diploma or GED",-118.298429,33.945756
"334","High School Diploma or GED",-117.9874739,33.8659713
"335","High School Diploma or GED",-118.2608138,33.7982199
"336","High School Diploma or GED",-118.1835833,33.7713554
"337","High School Diploma or GED",-118.111825,33.8611
"338","High School Diploma or GED",-119.000729,35.3944509
"339","High School Diploma or GED",-118.09187,33.985933
"340","High School Diploma or GED",-118.130108,33.852632
"341","High School Diploma or GED",-118.249786,33.909936
"342","High School Diploma or GED",-118.3923998,34.0546953
"343","High School Diploma or GED",-118.371303,33.848867
"344","High School Diploma or GED",-118.271034,33.790238
"345","High School Diploma or GED",-118.315386,33.927876
"346","High School Diploma or GED",-118.1713606,33.7726038
"347","High School Diploma or GED",-118.282358,33.9414511
"348","High School Diploma or GED",-118.2649156,33.7920378
"349","High School Diploma or GED",-118.068765,33.865569
"350","High School Diploma or GED",-117.6738416,34.0317025
"351","High School Diploma or GED",-118.3063155,33.8381644
"352","High School Diploma or GED",-118.303246,33.72275
"353","High School Diploma or GED",-118.102885,33.839305
"354","High School Diploma or GED",-118.0861726,33.9126744
"355","High School Diploma or GED",-158.027727,21.331168
"356","High School Diploma or GED",-117.6602416,33.8802155
